,Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,exp_cap
0,91,1,2,1,2,1,7,6,507184.52380952
1,72,1,2,1,7,1,7,9,264965.60846561
2,72,1,6,1,7,1,10,8,227400.89285714
3,128,1,2,1,2,1,7,5,907788.0952381
4,135,1,2,1,2,1,7,4,615755.95238095
5,35,1,6,1,7,1,10,3,251138.88888889
6,63,1,2,1,7,1,7,12,277033.73015873
7,72,1,2,1,7,1,7,8,304267.85714286
8,45,3,5,1,7,1,7,5,261083.33333333
9,30,1,2,1,7,1,7,1,1102630.952381
10,96,1,6,1,2,1,7,6,678800.1984127
11,192,1,4,1,3,1,7,5,1876120.2380952
12,48,1,6,1,2,1,7,1,760491.03571429
13,112,1,2,1,3,1,3,4,4461937.5
14,130,1,2,1,3,1,7,7,611971.08843537
15,54,1,2,1,2,1,7,4,774958.33333333
16,30,1,6,1,2,1,7,4,1103217.8571429
17,120,1,2,1,3,1,7,6,3794627.3809524
18,180,1,2,1,2,1,7,5,854328.57142857
19,48,1,6,1,3,1,10,3,418826.19047619
20,120,1,2,1,3,1,7,4,3251922.6190476
21,102,1,2,1,3,1,7,3,2719916.2857143
22,130,1,2,1,3,1,7,6,2366773.8095238
23,60,1,6,2,3,1,7,5,422738.0952381
24,135,1,6,1,2,1,7,4,1509821.4285714
25,25,3,6,2,3,1,7,5,292240.47619048
26,35,1,6,1,2,1,7,5,423821.42857143
27,162,1,2,1,2,1,7,4,609301.00892857
28,77,1,6,1,3,1,7,4,1787532.7380952
29,220,1,2,1,3,1,7,7,1747870.7482993
30,15,3,5,2,2,2,7,3,716043.65079365
31,200,1,2,1,7,1,7,5,262292.85714286
32,63,3,5,1,7,1,7,2,1046821.4285714
33,54,1,6,1,7,1,7,5,366026.19047619
34,42,3,5,1,7,1,10,3,396289.68253968
35,24,3,5,4,7,1,7,3,474115.07936508
36,42,3,5,4,7,1,10,5,350059.52380952
37,42,3,5,4,7,1,7,4,362714.28571429
38,104,1,2,1,7,1,7,5,849902.38095238
39,35,3,5,4,7,1,7,4,282547.61904762
40,80,3,5,1,2,1,7,5,282052.38095238
41,78,1,6,6,7,1,7,7,382767.00680272
42,45,3,5,1,7,1,10,3,294952.38095238
43,20,3,5,6,7,1,10,2,677067.85714286
44,84,1,2,1,7,1,7,3,766210.31746032
45,48,3,5,1,7,1,7,8,2173580.3571429
46,30,3,5,6,7,1,10,8,266808.03571429
47,150,3,5,6,7,1,10,5,344190.47619048
48,42,3,5,2,7,1,10,4,289443.45238095
49,24,3,5,1,7,1,10,7,377267.00680272
50,54,3,5,1,7,1,7,4,1142854.1666667
51,63,1,2,1,7,1,10,6,297595.23809524
52,72,3,5,1,2,1,7,5,994714.28571429
53,84,3,6,1,7,1,7,5,1362511.9047619
54,72,1,5,1,7,1,7,1,695833.33333333
55,78,3,5,1,7,1,7,1,982266.66666667
56,20,1,5,1,2,1,7,3,1243119.047619
57,42,3,5,1,7,1,7,3,1340738.0952381
58,108,3,1,1,7,1,7,4,345476.19047619
59,40,3,5,1,8,1,7,8,232656.25
60,117,1,5,1,7,1,7,6,1051341.6666667
61,72,3,6,1,7,1,7,6,987232.53968254
62,72,1,6,1,7,1,10,5,921444.52380952
63,84,1,4,1,7,1,7,8,595793.1547619
64,112,4,6,1,6,1,10,3,1782452.3809524
65,54,3,5,1,7,1,7,4,683461.30952381
66,72,1,4,1,7,1,3,3,2168428.5714286
67,63,1,8,1,7,1,7,2,1556178.5714286
68,63,1,6,1,7,1,10,7,492642.85714286
69,54,3,5,2,7,1,10,5,717793.57142857
70,63,3,5,6,5,1,10,2,1917380.952381
71,84,3,5,1,5,1,7,4,1560181.547619
72,96,3,5,1,5,1,2,4,1696389.8809524
73,35,1,6,6,5,1,7,2,1503023.8095238
74,20,3,5,1,5,1,10,5,682021.42857143
75,35,3,6,4,5,1,10,4,997869.04761905
76,24,3,5,6,5,4,10,5,494254.76190476
77,63,3,5,1,5,1,10,5,1135919.047619
78,35,3,5,6,5,4,10,6,823726.19047619
79,54,3,5,1,5,1,10,3,1226853.1746032
80,60,1,7,1,2,1,7,6,439890.87301587
81,30,3,6,4,7,1,7,4,972528.57142857
82,52,3,5,4,7,1,7,4,571937.5
83,150,1,6,1,2,1,7,6,594049.6031746
84,90,3,2,1,7,1,7,2,1583696.4285714
85,66,1,6,1,7,1,7,6,671309.52380952
86,72,1,5,1,7,1,7,5,672817.38095238
87,35,3,5,1,7,2,7,4,715512.5
88,72,1,2,1,7,1,7,4,851285.71428571
89,20,3,5,4,7,2,7,2,401904.76190476
90,63,3,6,1,3,1,10,7,511494.89795918
91,30,3,6,6,3,1,10,6,368204.76190476
92,150,1,4,1,3,1,7,9,1309888.8888889
93,108,1,4,1,3,1,7,3,989361.11111111
94,56,1,6,1,3,1,7,4,777907.73809524
95,30,1,4,1,3,1,7,3,1032797.6190476
96,35,3,6,6,3,1,10,4,517838.0952381
97,30,3,6,1,3,1,10,7,304181.97278912
98,28,3,6,1,3,1,10,4,640080.95238095
99,42,3,5,6,7,1,7,2,921619.04761905
100,77,4,5,1,7,1,7,3,771343.25396825
101,150,3,5,1,7,1,7,4,509660.71428571
102,90,3,5,1,3,1,7,4,554116.07142857
103,120,3,5,1,7,1,7,1,1371055.952381
104,42,3,5,6,7,1,10,4,363571.42857143
105,56,3,5,6,7,1,10,3,1177087.3015873
106,63,3,5,1,5,1,7,3,562757.93650794
107,36,3,6,1,3,1,7,4,460435.71428571
108,36,3,5,6,7,1,7,4,303953.27380952
109,54,1,6,1,6,1,10,5,396859.52380952
110,63,1,6,6,6,2,10,6,274968.25396825
111,96,1,2,1,2,1,7,3,1193674.6031746
112,54,1,5,6,6,1,10,4,354469.64285714
113,24,3,7,6,6,2,10,2,234351.19047619
114,30,3,7,6,5,2,10,5,421797.14285714
115,54,1,6,6,6,1,10,4,387174.4047619
116,60,1,6,1,6,2,10,7,293073.1292517
117,54,1,6,1,5,1,10,5,294833.80952381
118,48,1,6,1,6,1,10,4,805300.5952381
119,42,3,5,1,10,1,10,9,217165.87301587
120,96,7,6,6,10,1,10,7,397069.72789116
121,54,1,6,1,10,1,10,9,282035.71428571
122,42,1,6,4,10,2,10,4,491845.23809524
123,30,3,6,1,6,1,10,2,941755.95238095
124,104,1,2,1,2,1,7,5,976864.28571429
125,60,1,4,1,10,1,10,7,487013.60544218
126,56,1,6,1,10,1,10,6,287462.3015873
127,18,4,7,6,10,1,10,4,288617.26190476
128,48,1,6,6,10,1,10,5,173397.61904762
129,30,1,6,1,5,1,10,4,513325.0
130,24,3,6,1,2,1,10,7,552777.21088435
131,35,3,7,1,5,2,10,2,507203.57142857
132,35,3,6,1,5,1,10,4,281905.95238095
133,42,1,6,1,2,1,10,5,337302.85714286
134,24,3,5,1,5,1,10,5,280496.19047619
135,88,3,5,1,2,1,7,5,854801.42857143
136,63,3,5,1,5,1,10,5,330226.19047619
137,28,5,5,1,5,1,10,10,281913.57142857
138,24,4,6,1,5,1,10,7,275330.6122449
139,84,1,2,1,7,1,10,3,685066.66666667
140,68,1,2,6,7,1,10,6,386960.71428571
141,32,3,5,6,7,1,10,5,392832.38095238
142,20,3,5,6,7,1,10,4,496679.16666667
143,48,1,5,6,7,1,10,6,588776.98412698
144,96,1,5,1,7,2,7,4,646462.5
145,24,3,5,6,7,1,7,4,428630.95238095
146,82,1,6,1,7,1,10,6,416732.53968254
147,30,3,6,4,7,1,10,5,387497.14285714
148,84,1,4,1,7,1,10,6,469945.63492064
149,22,3,5,4,7,1,10,4,425697.02380952
150,42,5,6,2,7,1,7,4,727708.33333333
151,48,1,4,1,7,1,10,2,1210982.1428571
152,30,1,2,1,7,2,7,3,862270.63492064
153,35,3,5,4,7,1,7,4,687002.97619048
154,48,1,6,6,6,1,10,9,400908.78306878
155,42,3,5,6,8,2,10,8,373187.5
156,84,1,2,1,6,1,7,6,1106890.1587302
157,96,1,4,1,7,1,7,5,762364.28571429
158,35,3,6,1,7,1,7,1,571136.66666667
159,34,1,6,6,2,1,7,1,929142.85714286
160,72,1,2,1,3,1,7,5,356870.0
161,98,1,6,1,3,1,7,7,298237.41496599
162,190,1,2,1,3,1,7,5,672580.57142857
163,28,3,7,6,3,2,10,4,263544.04761905
164,72,1,2,1,3,1,10,9,244105.82010582
165,45,1,6,1,2,1,7,2,1373269.047619
166,85,1,6,1,3,1,10,5,643651.42857143
167,84,1,2,1,3,1,7,8,847392.85714286
168,72,1,2,1,3,1,7,7,359869.72789116
169,48,1,2,1,3,1,7,6,355189.28571429
170,63,1,6,1,3,1,7,4,553607.73809524
171,80,1,6,1,5,1,7,3,641481.74603175
172,72,1,2,1,3,1,7,2,1126120.2380952
173,35,1,2,1,3,1,7,2,568998.80952381
174,108,1,2,1,3,1,7,4,510020.83333333
175,72,1,2,1,3,1,7,6,588015.07936508
176,105,1,2,1,3,1,7,5,921928.57142857
177,35,3,5,4,3,1,10,3,486900.0
178,60,1,2,1,3,1,7,8,329531.8452381
179,88,1,2,1,2,1,7,5,763537.14285714
180,28,3,5,1,7,1,10,3,212918.25396825
181,91,1,2,1,7,1,7,4,592507.61904762
182,84,1,2,1,7,1,10,3,554500.79365079
183,135,1,2,1,2,1,7,7,1626522.4489796
184,117,1,2,1,2,1,7,4,3498908.9285714
185,117,1,2,1,7,1,10,5,250566.66666667
186,63,3,6,1,7,1,10,6,623177.38095238
187,72,1,2,1,2,1,7,4,1222425.5952381
188,126,1,2,1,7,1,7,5,402352.38095238
189,117,1,6,1,3,1,10,6,270352.77777778
190,91,1,6,1,3,1,7,2,647377.38095238
191,54,1,4,1,7,1,10,4,372905.95238095
192,24,3,6,6,3,1,7,4,324366.66666667
193,30,1,6,1,2,1,7,6,458770.23809524
194,40,3,8,6,7,4,10,6,229076.78571429
195,91,1,6,1,7,1,10,4,509375.0
196,66,1,6,1,7,1,10,8,214525.29761905
197,90,1,2,1,2,1,10,4,283791.36904762
198,66,1,6,1,7,1,10,2,905647.61904762
199,20,3,5,2,5,2,7,5,1243188.0952381
200,20,3,5,1,3,1,10,6,283546.42857143
201,66,1,2,1,2,1,7,9,976850.42328042
202,66,1,6,1,2,1,7,15,163405.07936508
203,32,1,6,1,2,1,3,7,1068256.122449
204,84,1,2,1,2,1,7,10,421621.19047619
205,72,1,6,1,2,1,7,4,250303.57142857
206,30,3,6,1,5,1,7,9,216091.26984127
207,98,1,2,1,2,1,7,3,2423706.3492064
208,48,1,6,1,5,1,10,5,240300.0
209,54,1,2,1,5,1,10,7,258298.50340136
210,96,1,4,1,2,1,7,4,342547.61904762
211,18,3,6,2,5,2,10,6,254053.57142857
212,45,1,6,1,5,1,10,5,351888.80952381
213,60,1,4,2,5,1,7,4,265574.4047619
214,80,1,6,1,2,1,7,4,492401.78571429
215,58,1,4,1,3,1,10,2,514746.42857143
216,72,1,6,1,2,1,10,15,163515.23809524
217,114,1,6,1,2,1,7,10,174444.52380952
218,60,1,6,1,2,1,7,4,263358.33333333
219,54,1,6,1,3,1,10,13,250358.97435897
220,48,3,6,1,3,1,10,9,261220.8994709
221,108,1,2,1,2,1,2,3,2596209.047619
222,24,3,7,6,3,1,10,3,262063.49206349
223,46,1,2,1,3,1,7,6,403744.04761905
224,42,1,2,1,3,1,10,10,236435.71428571
225,42,1,6,1,3,1,10,10,273846.42857143
226,54,1,2,1,2,1,10,6,344529.76190476
227,18,3,7,2,3,1,7,4,715232.14285714
228,42,1,2,1,3,1,10,9,224288.35978836
229,28,3,5,2,7,1,10,4,292889.88095238
230,160,1,2,1,7,1,10,4,461288.69047619
231,28,3,5,1,7,1,10,5,429313.57142857
232,96,1,6,1,7,1,10,5,338633.33333333
233,56,1,2,1,7,1,10,11,245770.45454545
234,63,1,6,1,7,1,10,5,296890.23809524
235,66,1,2,1,7,1,7,3,1904063.4920635
236,40,3,5,2,7,1,10,3,1267530.1587302
237,66,1,4,1,7,1,10,2,1187613.0952381
238,20,3,6,1,7,1,10,3,303809.52380952
239,36,3,5,1,7,2,10,1,990133.33333333
240,96,1,2,1,7,1,10,8,222612.94642857
241,35,3,5,1,7,1,10,2,718900.0
242,54,1,2,1,7,1,10,7,219035.71428571
243,130,1,6,1,7,1,7,4,1256648.8095238
244,35,3,5,1,7,1,10,5,257542.85714286
245,24,3,5,2,7,2,10,8,156492.55952381
246,30,1,2,1,7,2,10,7,217425.17006803
247,50,1,2,1,7,1,10,7,295356.80272109
248,32,3,5,2,7,1,10,3,266935.31746032
249,20,3,5,4,7,1,10,5,159950.0
250,24,3,5,6,7,1,10,6,165402.77777778
251,63,1,6,1,7,1,10,4,193000.0
252,54,1,6,1,7,1,10,6,283704.36507937
253,75,1,6,6,7,1,10,9,283855.82010582
254,80,1,2,1,7,1,7,6,766277.77777778
255,112,1,2,1,7,1,7,5,685621.42857143
256,24,3,5,6,7,1,10,4,155937.5
257,54,1,2,1,7,1,7,4,430023.80952381
258,24,3,5,6,7,1,7,2,809000.0
259,108,1,4,1,3,1,7,7,809527.89115646
260,25,3,4,1,3,2,10,11,332671.53679654
261,84,1,2,1,3,1,7,6,818391.66666667
262,30,1,6,1,3,3,7,2,1702503.5714286
263,56,1,4,1,3,1,7,4,846883.92857143
264,24,1,2,1,3,1,0,1,5654416.6666667
265,54,1,6,1,2,1,7,4,640011.30952381
266,56,1,2,1,3,1,7,4,857562.20238095
267,24,3,5,1,3,1,7,1,2514107.1428571
268,60,1,5,1,3,2,10,6,331882.53968254
269,35,3,5,4,7,1,10,6,351369.04761905
270,91,1,2,1,2,1,7,3,2074142.0634921
271,36,3,5,4,7,1,10,7,298894.55782313
272,84,1,4,1,7,1,7,6,594371.03174603
273,30,3,5,2,7,1,10,3,872730.15873016
274,35,3,6,1,7,1,7,5,598654.76190476
275,48,3,5,1,7,1,10,2,1060470.2380952
276,49,3,5,1,7,1,7,2,1131174.4047619
277,20,3,5,1,7,1,10,8,298508.92857143
278,84,1,2,1,7,1,7,4,728616.07142857
279,63,1,2,1,3,1,10,5,1041574.2857143
280,77,1,2,1,3,1,10,5,1128446.6666667
281,63,1,2,1,3,2,10,7,273425.91836735
282,20,3,5,2,3,2,10,2,1346025.0
283,30,3,5,1,3,1,7,7,511381.9047619
284,40,3,4,1,3,1,10,7,220523.19727891
285,56,1,2,1,3,1,10,7,458909.86394558
286,24,3,5,2,3,1,10,1,1896392.8571429
287,30,1,2,2,3,2,7,4,651080.35714286
288,30,3,5,1,3,1,7,2,868177.85714286
289,20,3,6,1,7,1,10,2,864538.0952381
290,24,3,4,1,7,1,10,5,255755.23809524
291,30,1,6,1,7,1,10,7,464363.94557823
292,42,1,2,1,2,1,3,2,4556097.2380952
293,42,1,2,1,2,1,3,3,3105411.5079365
294,36,1,2,1,2,1,7,5,1142914.7619048
295,35,1,6,1,7,1,10,8,228276.19047619
296,36,3,6,1,7,1,10,6,491736.9047619
297,54,1,2,1,7,1,10,8,300428.57142857
298,42,3,2,1,7,1,10,7,511163.94557823
299,84,1,2,1,7,1,10,5,750930.0
300,98,1,2,1,6,1,7,4,649490.23809524
301,70,1,2,1,5,1,10,6,302897.22222222
302,54,1,4,1,6,2,10,3,427015.87301587
303,24,6,5,6,5,1,10,4,463772.97619048
304,60,3,4,1,8,1,10,8,425102.67857143
305,90,1,4,1,7,1,10,12,246303.76984127
306,72,1,2,1,8,1,10,4,636252.97619048
307,66,1,4,1,5,1,10,4,450218.69047619
308,24,3,4,6,5,2,10,6,272486.11111111
309,99,1,4,1,7,1,10,9,464061.64021164
310,56,1,6,1,7,1,7,6,523533.73015873
311,28,2,5,1,5,1,10,7,241447.27891156
312,117,1,2,1,2,1,7,4,1138488.6904762
313,91,1,2,1,7,1,7,4,855883.92857143
314,56,3,4,3,7,1,7,4,582285.11904762
315,25,3,5,1,7,2,10,3,489915.07936508
316,28,3,5,4,7,1,7,5,371710.95238095
317,74,3,5,1,7,1,7,3,1004103.1746032
318,72,3,5,1,7,1,10,5,560709.52380952
319,108,3,4,1,5,1,10,3,712475.07936508
320,32,3,4,1,5,1,10,4,826886.30952381
321,54,1,4,1,5,1,10,2,1715230.4761905
322,63,3,4,1,4,1,10,2,1453934.5238095
323,42,3,8,1,6,2,10,2,1220950.7142857
324,40,3,4,6,4,1,10,7,488193.36734694
325,48,3,8,1,6,1,10,4,710119.04761905
326,30,1,4,1,6,1,10,6,480156.9047619
327,72,1,5,1,6,1,10,2,867643.45238095
328,54,3,4,1,6,1,10,2,691409.52380952
329,42,3,5,4,7,1,10,6,664371.19047619
330,48,3,5,1,7,1,10,7,645109.3877551
331,42,3,5,4,7,1,10,6,299661.11111111
332,15,3,5,1,7,1,10,4,462607.26190476
333,24,3,5,3,7,2,10,1,1128733.3333333
334,63,3,5,3,7,1,10,4,820186.01190476
335,88,3,4,1,7,1,10,2,682013.33333333
336,18,3,5,6,7,2,10,4,289264.88095238
337,20,3,5,6,6,2,10,4,764665.35714286
338,108,3,5,1,7,1,10,5,386899.9047619
339,42,3,5,1,4,1,10,5,867650.95238095
340,54,3,5,1,6,1,10,3,422188.41269841
341,36,3,5,6,4,1,10,2,564815.47619048
342,20,3,5,3,4,2,10,7,332370.74829932
343,24,3,5,6,4,2,7,2,704714.28571429
344,24,3,5,6,8,1,10,2,705648.80952381
345,37,3,5,3,4,1,10,6,557961.50793651
346,36,3,4,1,4,1,10,6,262576.74603175
347,36,3,8,3,4,1,10,5,245992.85714286
348,24,3,5,4,4,2,10,1,1125027.1428571
349,84,3,5,4,7,1,10,15,199511.58730159
350,54,1,5,1,7,1,7,9,287591.11111111
351,66,1,6,1,6,1,10,7,399168.02721088
352,112,1,2,1,7,1,10,6,269567.46031746
353,42,3,5,1,7,1,10,4,294400.29761905
354,42,3,5,6,7,4,10,2,277160.71428571
355,72,3,5,4,7,1,10,8,222821.42857143
356,60,1,6,1,2,1,10,6,298352.77777778
357,36,3,7,1,5,1,10,4,395963.0952381
358,35,3,6,4,6,2,10,7,232531.97278912
359,54,1,6,1,4,1,10,1,1046069.047619
360,30,3,6,1,4,1,7,2,635065.47619048
361,119,1,2,1,4,1,7,9,284418.25396825
362,35,3,5,1,3,1,10,8,274393.30357143
363,117,1,2,1,4,1,7,7,634168.36734694
364,108,1,6,1,4,1,7,6,594026.58730159
365,25,1,8,1,5,1,10,3,921664.68253968
366,35,3,6,1,4,1,10,4,340562.5
367,117,1,2,1,4,1,10,7,371408.84353741
368,63,1,2,1,4,1,10,8,266365.92261905
369,35,3,5,6,7,1,10,5,456685.71428571
370,54,1,4,1,7,1,10,4,810217.26190476
371,30,3,6,6,7,2,10,2,458680.71428571
372,77,1,6,1,7,1,7,2,1128720.0
373,12,3,5,3,7,2,10,3,340398.41269841
374,35,3,5,6,7,1,7,3,795597.93650794
375,35,3,5,1,7,1,10,6,264089.68253968
376,28,3,5,1,4,1,10,7,231585.03401361
377,96,1,4,1,7,1,10,4,1226309.5238095
378,108,1,4,1,7,1,10,4,849833.33333333
379,40,3,6,1,5,1,7,7,262825.17006803
380,30,3,6,2,5,2,10,2,511250.0
381,35,3,7,6,5,1,10,6,298378.96825397
382,144,1,4,1,5,1,7,4,1674502.3809524
383,32,5,5,1,5,1,7,5,375064.28571429
384,96,1,4,1,5,1,3,2,3139964.2857143
385,30,3,6,1,5,1,7,5,488090.0
386,35,3,6,2,5,1,7,3,585364.28571429
387,42,3,5,1,5,2,7,5,584964.28571429
388,72,1,2,1,5,1,7,2,1454797.6190476
389,30,3,6,1,6,1,10,3,573547.61904762
390,140,1,6,1,7,1,10,10,593044.04761905
391,54,3,6,1,7,1,10,4,595324.4047619
392,48,3,5,1,7,1,10,5,705680.95238095
393,72,3,6,6,7,2,10,2,490666.66666667
394,30,3,6,1,7,1,10,5,420773.80952381
395,45,1,6,1,7,1,10,3,550337.3015873
396,40,3,5,1,7,1,10,2,770803.57142857
397,30,3,6,1,7,1,10,4,585821.42857143
398,70,1,6,1,7,2,10,10,196839.28571429
399,90,1,4,1,4,1,10,6,1685210.9126984
400,72,1,6,1,4,1,10,7,783969.72789116
401,99,3,6,1,4,1,10,5,1098876.6666667
402,29,3,5,6,4,1,10,6,266683.33333333
403,30,3,5,6,5,1,10,2,1104761.9047619
404,12,3,5,6,4,1,7,4,814829.16666667
405,56,3,5,3,5,1,10,3,854035.71428571
406,55,3,5,1,5,1,10,3,757834.12698413
407,54,3,5,1,5,1,7,4,713675.5952381
408,87,1,6,1,5,1,3,4,1285718.452381
409,54,3,6,1,5,1,10,5,933866.66666667
410,54,3,6,1,7,1,10,4,557949.4047619
411,70,3,5,1,7,1,7,5,593283.57142857
412,30,3,6,1,7,1,10,3,421279.36507937
413,32,3,6,6,7,2,10,3,1056615.0793651
414,54,3,6,6,7,1,10,8,434180.6547619
415,40,2,6,1,7,1,10,5,488085.23809524
416,36,3,8,1,5,1,10,6,419968.25396825
417,64,3,6,1,7,1,7,4,488805.95238095
418,35,3,6,1,7,1,7,3,1185073.4126984
419,80,1,6,1,5,1,7,6,293405.35714286
420,37,3,6,2,4,2,10,3,1171742.0634921
421,60,1,2,1,4,1,7,8,489302.5297619
422,60,3,5,2,4,1,10,5,226331.19047619
423,108,1,2,1,4,1,10,5,404046.42857143
424,30,1,6,6,5,2,10,4,483170.23809524
425,57,1,2,1,4,1,10,10,293559.16666667
426,50,3,5,2,4,1,10,3,625301.58730159
427,78,1,2,1,4,1,7,5,498754.76190476
428,50,1,8,1,4,1,10,8,204113.24404762
429,40,3,5,1,7,1,10,6,765501.98412698
430,70,1,4,6,7,1,10,10,388030.23809524
431,12,3,9,6,7,4,10,4,228686.30952381
432,45,3,5,1,7,1,7,5,633553.80952381
433,117,3,5,1,7,1,10,5,1232626.1904762
434,35,4,5,6,7,2,10,6,626745.23809524
435,35,3,5,6,7,1,10,2,681167.85714286
436,35,3,5,6,7,1,10,6,341521.82539683
437,32,4,7,6,7,2,10,2,1265574.7619048
438,40,3,5,6,7,2,7,8,295658.03571429
439,216,1,2,1,7,1,7,5,876159.52380952
440,45,3,5,4,7,1,7,3,1434726.1904762
441,30,3,5,1,7,1,7,3,1238988.0952381
442,16,3,5,1,7,1,10,2,729644.04761905
443,20,3,6,6,7,1,7,3,485289.68253968
444,120,3,5,1,7,1,7,4,298943.45238095
445,108,3,5,1,7,1,7,5,1275245.2380952
446,42,3,5,2,7,1,7,4,419050.5952381
447,105,1,2,1,5,1,7,2,1112565.4761905
448,264,1,2,1,7,1,7,3,814309.52380952
449,99,1,6,1,5,1,7,4,1793714.2857143
450,63,3,5,1,5,1,7,4,673526.78571429
451,100,1,2,1,5,1,7,4,1682404.7619048
452,45,3,5,1,5,1,10,5,297284.28571429
453,243,1,2,1,2,1,3,7,1773178.5714286
454,17,3,6,1,5,1,7,1,921402.38095238
455,56,3,6,1,5,1,10,5,206110.95238095
456,70,1,6,1,5,1,10,5,684802.38095238
457,63,3,2,1,5,1,7,2,2002666.6666667
458,160,1,2,1,5,1,7,2,3129839.2857143
459,45,3,6,1,8,1,7,5,471981.66666667
460,35,3,5,1,7,1,7,4,562332.73809524
461,20,3,5,4,7,1,10,1,389783.33333333
462,54,3,5,1,7,1,10,2,853235.47619048
463,20,3,5,6,7,2,10,2,194264.52380952
464,28,3,5,4,7,1,7,3,1231312.1428571
465,24,3,5,1,7,1,7,1,2112083.3333333
466,48,1,6,1,8,1,10,4,457004.16666667
467,42,3,5,1,7,1,10,9,277515.34391534
468,35,3,5,1,7,1,7,3,434120.63492064
469,42,3,5,1,7,1,10,3,708562.3015873
470,70,3,6,6,7,1,10,6,285171.03174603
471,20,3,5,4,7,2,7,4,250412.5
472,30,3,5,6,7,1,7,4,523221.42857143
473,112,3,5,2,7,1,7,6,668551.58730159
474,216,1,2,1,7,1,7,5,1042262.1428571
475,60,3,5,1,7,1,7,1,1388026.6666667
476,72,1,6,1,7,1,7,3,1131294.4444444
477,247,3,5,1,7,1,7,5,1056351.1904762
478,195,1,2,1,7,1,7,2,3068522.1428571
479,28,3,6,1,7,1,7,1,1278335.7142857
480,42,3,5,6,7,1,10,5,441720.71428571
481,30,3,5,4,7,1,7,6,228400.79365079
482,126,3,5,1,7,1,10,4,398508.92857143
483,98,3,5,1,5,1,7,4,250321.13095238
484,48,4,6,4,7,1,10,3,491765.47619048
485,96,3,5,1,7,1,7,5,486563.33333333
486,96,3,5,1,7,1,7,5,290883.33333333
487,96,3,5,4,7,1,10,6,335993.65079365
488,104,3,6,1,7,1,7,6,366966.26984127
489,50,3,5,6,7,1,7,4,487261.9047619
490,72,1,2,1,7,1,7,5,714792.85714286
